stratum,value,method,people,images,accuracy,macro_f1_fixed_classes,sitting_precision,sitting_recall,sitting_f1,sitting_support,standing_precision,standing_recall,standing_f1,standing_support,walking_running_precision,walking_running_recall,walking_running_f1,walking_running_support
area_quartile,Q4_large,dino_tight_svm,888,804,0.8783783783783784,0.8282000900704084,0.936768149882904,0.9501187648456056,0.9433962264150944,421,0.8436657681940701,0.8646408839779005,0.8540245566166439,362,0.7444444444444445,0.638095238095238,0.6871794871794872,105
area_quartile,Q4_large,dino_context_svm,888,804,0.8862612612612613,0.836599354578853,0.9328703703703703,0.9572446555819477,0.9449003516998827,421,0.8548387096774194,0.8784530386740331,0.8664850136239782,362,0.7857142857142857,0.6285714285714286,0.6984126984126984,105
area_quartile,Q4_large,dino_stack,888,804,0.8862612612612613,0.8469810514701678,0.9324009324009324,0.9501187648456056,0.9411764705882353,421,0.8622589531680441,0.8646408839779005,0.863448275862069,362,0.7708333333333334,0.7047619047619048,0.736318407960199,105
area_quartile,Q4_large,dino_factorized,888,804,0.8873873873873874,0.8443491982923078,0.9350348027842227,0.9572446555819477,0.9460093896713615,421,0.8666666666666667,0.861878453038674,0.8642659279778393,362,0.7525773195876289,0.6952380952380952,0.7227722772277227,105
area_quartile,Q4_large,siglip2,888,804,0.884009009009009,0.8363881672534013,0.9271070615034168,0.9667458432304038,0.9465116279069767,421,0.8676056338028169,0.850828729281768,0.8591352859135286,362,0.7446808510638298,0.6666666666666666,0.7035175879396985,105
area_quartile,Q4_large,convnext,888,804,0.8063063063063063,0.7701268268658051,0.8389830508474576,0.9406175771971497,0.8868980963045913,421,0.8415492957746479,0.6602209944751382,0.739938080495356,362,0.6136363636363636,0.7714285714285715,0.6835443037974683,105
height_quartile,Q1_short,v1,888,499,0.5833333333333334,0.6183308310572638,0.8669950738916257,0.8341232227488151,0.8502415458937198,211,0.7813953488372093,0.35443037974683544,0.4876632801161103,474,0.3702127659574468,0.8571428571428571,0.5170876671619614,203
height_quartile,Q1_short,source_tight_pad,888,499,0.6531531531531531,0.6777217963497005,0.8530805687203792,0.8530805687203792,0.8530805687203792,211,0.8371212121212122,0.46624472573839665,0.5989159891598916,474,0.43341404358353514,0.8817733990147784,0.5811688311688312,203
height_quartile,Q1_short,dino_tight_svm,888,499,0.8490990990990991,0.8366520264016488,0.941747572815534,0.919431279620853,0.9304556354916067,211,0.8369351669941061,0.8987341772151899,0.866734486266531,474,0.7745664739884393,0.6600985221674877,0.7127659574468085,203
height_quartile,Q1_short,dino_context_svm,888,499,0.8536036036036037,0.8415665935309883,0.945273631840796,0.9004739336492891,0.9223300970873787,211,0.83984375,0.9071729957805907,0.8722109533468559,474,0.7885714285714286,0.6798029556650246,0.7301587301587301,203
height_quartile,Q1_short,dino_stack,888,499,0.8614864864864865,0.8544240019147179,0.9299065420560748,0.943127962085308,0.9364705882352942,211,0.8718487394957983,0.8755274261603375,0.8736842105263158,474,0.7626262626262627,0.7438423645320197,0.7531172069825436,203
height_quartile,Q1_short,dino_factorized,888,499,0.8603603603603603,0.8515235120032036,0.9603960396039604,0.919431279620853,0.9394673123486683,211,0.852,0.8987341772151899,0.8747433264887063,474,0.7741935483870968,0.7093596059113301,0.7403598971722365,203
height_quartile,Q1_short,siglip2,888,499,0.8614864864864865,0.8506193566946963,0.9504950495049505,0.909952606635071,0.9297820823244553,211,0.8410852713178295,0.9156118143459916,0.8767676767676768,474,0.8176470588235294,0.6847290640394089,0.7453083109919572,203
height_quartile,Q1_short,convnext,888,499,0.7556306306306306,0.7577896266661032,0.8585365853658536,0.8341232227488151,0.8461538461538461,211,0.8387909319899244,0.7025316455696202,0.764638346727899,474,0.5664335664335665,0.7980295566502463,0.6625766871165644,203
height_quartile,Q2,v1,887,620,0.6538895152198422,0.6687150030531139,0.9377593360995851,0.8560606060606061,0.8950495049504951,264,0.8416666666666667,0.4420131291028446,0.5796269727403156,457,0.37438423645320196,0.9156626506024096,0.5314685314685315,166
height_quartile,Q2,source_tight_pad,887,620,0.7170236753100339,0.7215434014427311,0.9073359073359073,0.8901515151515151,0.8986615678776291,264,0.8689655172413793,0.5514223194748359,0.6746987951807228,457,0.4408284023668639,0.8975903614457831,0.5912698412698413,166
height_quartile,Q2,dino_tight_svm,887,620,0.9007891770011274,0.8831751978110463,0.9803921568627451,0.946969696969697,0.9633911368015414,264,0.8804123711340206,0.9343544857768052,0.9065817409766455,457,0.8299319727891157,0.7349397590361446,0.7795527156549521,166
height_quartile,Q2,dino_context_svm,887,620,0.8793686583990981,0.8578355341239045,0.9607843137254902,0.928030303030303,0.9441233140655106,264,0.8591836734693877,0.9212253829321663,0.8891235480464625,457,0.8028169014084507,0.6867469879518072,0.7402597402597403,166
height_quartile,Q2,dino_stack,887,620,0.8940248027057497,0.8756731686245245,0.9767441860465116,0.9545454545454546,0.9655172413793104,264,0.885593220338983,0.9146608315098468,0.8998923573735199,457,0.7834394904458599,0.7409638554216867,0.7616099071207431,166
height_quartile,Q2,dino_factorized,887,620,0.8996617812852311,0.8818024072880134,0.9802371541501976,0.9393939393939394,0.9593810444874274,264,0.8822314049586777,0.9343544857768052,0.9075451647183846,457,0.82,0.7409638554216867,0.7784810126582279,166
height_quartile,Q2,siglip2,887,620,0.8793686583990981,0.8598161672383325,0.9610894941634242,0.9356060606060606,0.9481765834932822,264,0.8630705394190872,0.9102844638949672,0.88604898828541,457,0.7905405405405406,0.7048192771084337,0.7452229299363057,166
height_quartile,Q2,convnext,887,620,0.8094701240135288,0.800864840004197,0.8888888888888888,0.9090909090909091,0.898876404494382,264,0.8805194805194805,0.7417943107221007,0.8052256532066508,457,0.5991379310344828,0.8373493975903614,0.6984924623115578,166
height_quartile,Q3,v1,887,670,0.705749718151071,0.711104930841013,0.8851851851851852,0.9299610894941635,0.9070208728652751,257,0.8929889298892989,0.5148936170212766,0.6531713900134952,470,0.4190751445086705,0.90625,0.5731225296442688,160
height_quartile,Q3,source_tight_pad,887,670,0.7497181510710259,0.7518583823066018,0.8795620437956204,0.9377431906614786,0.9077212806026366,257,0.9249146757679181,0.5765957446808511,0.7103538663171691,470,0.478125,0.95625,0.6375,160
height_quartile,Q3,dino_tight_svm,887,670,0.8714768883878241,0.8488767993567402,0.9525691699604744,0.9377431906614786,0.9450980392156862,257,0.8662551440329218,0.8957446808510638,0.8807531380753139,470,0.75,0.69375,0.7207792207792207,160
height_quartile,Q3,dino_context_svm,887,670,0.874859075535513,0.8519455801934323,0.9346153846153846,0.9455252918287937,0.9400386847195358,257,0.8670756646216768,0.902127659574468,0.8842544316996872,470,0.7898550724637681,0.68125,0.7315436241610739,160
height_quartile,Q3,dino_stack,887,670,0.8861330326944757,0.8670363598267797,0.9457364341085271,0.9494163424124513,0.9475728155339805,257,0.8835758835758836,0.9042553191489362,0.8937960042060988,470,0.7905405405405406,0.73125,0.7597402597402597,160
height_quartile,Q3,dino_factorized,887,670,0.8771138669673055,0.8573929157294101,0.9418604651162791,0.9455252918287937,0.9436893203883495,257,0.8784067085953878,0.8914893617021277,0.8848996832101372,470,0.7631578947368421,0.725,0.7435897435897436,160
height_quartile,Q3,siglip2,887,670,0.8647125140924464,0.8423374517765763,0.9305019305019305,0.9377431906614786,0.9341085271317829,257,0.8630705394190872,0.8851063829787233,0.8739495798319328,470,0.7534246575342466,0.6875,0.7189542483660131,160
height_quartile,Q3,convnext,887,670,0.7733934611048479,0.7581346258270051,0.8421052631578947,0.933852140077821,0.8856088560885609,257,0.8527131782945736,0.7021276595744681,0.7701283547257877,470,0.5395348837209303,0.725,0.6186666666666667,160
height_quartile,Q4_tall,v1,888,774,0.7691441441441441,0.7530989328138612,0.8908554572271387,0.9526813880126183,0.9207317073170732,317,0.922509225092251,0.5813953488372093,0.7132667617689016,430,0.4712230215827338,0.9290780141843972,0.6252983293556086,141
height_quartile,Q4_tall,source_tight_pad,888,774,0.793918918918919,0.7750808238965798,0.9194029850746268,0.9716088328075709,0.9447852760736196,317,0.9403508771929825,0.6232558139534884,0.7496503496503496,430,0.48134328358208955,0.9148936170212766,0.6308068459657702,141
height_quartile,Q4_tall,dino_tight_svm,888,774,0.8569819819819819,0.8181085220155516,0.9181818181818182,0.9558359621451105,0.9366306027820711,317,0.8473804100227791,0.8651162790697674,0.856156501726122,430,0.7226890756302521,0.6099290780141844,0.6615384615384615,141
height_quartile,Q4_tall,dino_context_svm,888,774,0.8581081081081081,0.8180893579746943,0.9126506024096386,0.9558359621451105,0.9337442218798151,317,0.8465011286681715,0.872093023255814,0.8591065292096219,430,0.7433628318584071,0.5957446808510638,0.6614173228346457,141
height_quartile,Q4_tall,dino_stack,888,774,0.8693693693693694,0.8374084772853556,0.9290123456790124,0.9495268138801262,0.9391575663026521,317,0.864367816091954,0.8744186046511628,0.869364161849711,430,0.7364341085271318,0.6737588652482269,0.7037037037037037,141
height_quartile,Q4_tall,dino_factorized,888,774,0.865990990990991,0.8316829261273705,0.9214501510574018,0.9621451104100947,0.941358024691358,317,0.866822429906542,0.8627906976744186,0.8648018648018648,430,0.7209302325581395,0.6595744680851063,0.6888888888888889,141
height_quartile,Q4_tall,siglip2,888,774,0.8592342342342343,0.8218316410363361,0.9101796407185628,0.9589905362776026,0.9339477726574501,317,0.8568129330254042,0.8627906976744186,0.8597914252607184,430,0.7272727272727273,0.624113475177305,0.6717557251908397,141
height_quartile,Q4_tall,convnext,888,774,0.795045045045045,0.7691075320747697,0.8366197183098592,0.9369085173501577,0.8839285714285714,317,0.8382749326145552,0.7232558139534884,0.7765293383270911,430,0.6049382716049383,0.6950354609929078,0.6468646864686468,141
scene_occupancy,multiple_people,v1,2191,840,0.6973984481971702,0.7102830542153965,0.8904593639575972,0.8600682593856656,0.875,586,0.8600823045267489,0.5409836065573771,0.6641949152542372,1159,0.44308035714285715,0.8901345291479821,0.5916542473919523,446
