task,candidate,classifier,C,class_weight,feature_dimensions,train_rows,validation_rows,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,fit_seconds,iterations,screen,converged
label_3,dinov2_base__person_context_25,standardized_multinomial_logistic,0.01,balanced,768,9958,3327,0.930868650435828,0.9307269417759636,0.9308395284886494,0.9314036234969686,0.173606682365726,0.1012286446877029,0.0104616255106121,1.487790099985432,85,capacity_base,True
label_3,fusion__convnext_small__person_context_10__dinov2_base__person_context_10,standardized_multinomial_logistic,0.01,none,1536,9958,3327,0.931770363691013,0.9307143949803496,0.9314021655547868,0.9295831660482188,0.1952323753863043,0.106863368659962,0.0189028508598633,3.44762069999706,134,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_25,standardized_multinomial_logistic,0.1,balanced,1536,9958,3327,0.930868650435828,0.9305148280200638,0.9308623285312174,0.9304757690046028,0.2376717306540864,0.1090208558240405,0.0423659296832597,4.207654900033958,197,capacity_base,True
label_3,dinov2_base__full_frame,standardized_multinomial_logistic,0.0001,none,3840,9958,3327,0.9314697926059512,0.9301919179461348,0.9311351340618156,0.9274623760569378,0.2279816346880625,0.1154832700152865,0.079896656958563,2.220582199981436,69,official_multilayer,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_25,standardized_multinomial_logistic,0.1,none,1536,9958,3327,0.9305680793507664,0.9299833674094106,0.9304425616860365,0.9293341748281526,0.2382772237950815,0.1099111686695111,0.0427106280828835,5.046126800007187,209,capacity_base,True
label_3,fusion__convnext_small__person_context_10__dinov2_base__person_context_10,standardized_multinomial_logistic,0.01,balanced,1536,9958,3327,0.9305680793507664,0.9298385902017428,0.9304772077016916,0.9301196848956748,0.1948000790348569,0.106943216642415,0.016252210113392,2.5954751999815926,127,capacity_base,True
label_3,fusion__convnext_small__person_context_25__dinov2_base__person_context_25,standardized_multinomial_logistic,0.01,none,1536,9958,3327,0.9302675082657048,0.929810600466853,0.9300143467373824,0.9287333678042056,0.1830077863828351,0.1051496491276649,0.0181337598430855,1.6062921999837272,120,capacity_base,True
label_3,fusion__dinov2_base__person_context_10__dinov2_base__person_context_25,standardized_multinomial_logistic,0.01,balanced,1536,9958,3327,0.9299669371806432,0.92979813948484,0.9299405285801178,0.929817334793276,0.1763299487911671,0.1008112050334859,0.0184570701958765,3.569750499969814,156,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,10.0,none,1536,9958,3327,0.9299669371806432,0.9296253950333532,0.9299613249428732,0.9294985197801976,0.680833905606266,0.1274038492664157,0.0619679900996353,2.7652668000082485,126,capacity_base,True
label_3,fusion__dinov2_base__full_frame__dinov2_base__person_context_10,standardized_multinomial_logistic,10.0,balanced,1536,9958,3327,0.92936579501052,0.9290551214072288,0.9293721946352465,0.9289200884076484,0.6843736246487417,0.127637529164203,0.0613496426691135,4.9494465999887325,121,capacity_base,True
label_3,fusion__dinov2_base__person_context_10__dinov2_base__person_context_25,standardized_multinomial_logistic,0.01,none,1536,9958,3327,0.92936579501052,0.9289059625421346,0.9291429522252558,0.9275455218281728,0.1764752970074949,0.1008842788292842,0.019140908214008,2.8310945000266656,127,capacity_base,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.0001,none,3840,9958,3327,0.9302675082657048,0.9288647462764388,0.9297773827177412,0.9274498043271082,0.2173589998689036,0.1148532135813348,0.061624603505828,1.8181367999641225,63,official_multilayer,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.1,none,3840,9958,3327,0.92936579501052,0.92859993883871,0.9290797185989864,0.9275996309588986,0.2690151976262104,0.1159698076677256,0.0446904501411741,8.07914729998447,368,official_multilayer,True
label_3,dinov2_base__person_context_10,standardized_multinomial_logistic,0.1,balanced,3840,9958,3327,0.9284640817553352,0.9280403482210964,0.9283102829558416,0.9274620009327412,0.2669706511246368,0.1160030117098164,0.0439893854082516,6.968450399988797,303,official_multilayer,True
label_3,fusion__dinov2_small__full_frame__dinov2_small__person_context_25,standardized_multinomial_logistic,0.01,none,768,9958,3327,0.9281635106702736,0.9274385267182014,0.9279892875161913,0.9275612364904596,0.1845378988462235,0.1074788672386103,0.0112177879883828,0.8944987000431865,80,required_small,True
label_3,fusion__dinov2_base__person_context_10__dinov2_small__person_context_10,standardized_multinomial_logistic,0.01,none,1152,9958,3327,0.927862939585212,0.9267639680378428,0.9274420684108006,0.925335300200742,0.185951418418358,0.1058133940071437,0.0142515135962751,2.139874099986628,113,capacity_base,True
