domain,evaluation_unit,candidate,bbox_quartile,rows,accuracy,macro_f1,log_loss,mean_confidence,spearman_bbox_area_correctness,spearman_bbox_area_confidence
V-COCO,person,dinov2_small_moderate,Q3,1660,0.6680722891566265,0.6760323631945028,1.6470978911401508,0.9088244271186636,0.1551074739033072,0.14909886062029518
V-COCO,person,dinov2_small_moderate,Q4,1660,0.7572289156626506,0.7142981892015944,1.1909021470783836,0.9227020179024586,0.1551074739033072,0.14909886062029518
V-COCO,person,dinov2_base_top4,Q1,1660,0.5861445783132531,0.6294067633419473,2.2018602304719264,0.9082542294434028,0.16495130734295674,0.10926675476576973
V-COCO,person,dinov2_base_top4,Q2,1660,0.6391566265060241,0.6641616961353153,1.9927775278707167,0.9294673747170022,0.16495130734295674,0.10926675476576973
V-COCO,person,dinov2_base_top4,Q3,1660,0.6921686746987952,0.701358343169059,1.8730582665660973,0.9384744596463555,0.16495130734295674,0.10926675476576973
V-COCO,person,dinov2_base_top4,Q4,1660,0.7897590361445783,0.7460062416657859,1.2215650619646388,0.9442839992208076,0.16495130734295674,0.10926675476576973
V-COCO,person,dinov2_base_multilayer_logistic,Q1,1660,0.5246987951807229,0.5800595207188053,1.5993422919265388,0.8450533738462734,0.19525897480169016,0.18361348638008335
V-COCO,person,dinov2_base_multilayer_logistic,Q2,1660,0.6246987951807229,0.6588400223646574,1.3960899065918282,0.8836774386870108,0.19525897480169016,0.18361348638008335
V-COCO,person,dinov2_base_multilayer_logistic,Q3,1660,0.6728915662650602,0.6867981908271598,1.4055545881427742,0.9000891249202653,0.19525897480169016,0.18361348638008335
V-COCO,person,dinov2_base_multilayer_logistic,Q4,1660,0.7753012048192771,0.7287723013999375,0.9757803674602601,0.9024643522014012,0.19525897480169016,0.18361348638008335
V-COCO,person,dinov2_base_multilayer_rbf,Q1,1660,0.522289156626506,0.5592733572616005,2.7627931299161568,0.9151293852692873,0.20244444320230348,0.01400056023337295
V-COCO,person,dinov2_base_multilayer_rbf,Q2,1660,0.6301204819277109,0.6575533995495313,2.3631628634701447,0.931711057832528,0.20244444320230348,0.01400056023337295
V-COCO,person,dinov2_base_multilayer_rbf,Q3,1660,0.6831325301204819,0.6962659648132039,1.9911240481472825,0.9346868290816583,0.20244444320230348,0.01400056023337295
V-COCO,person,dinov2_base_multilayer_rbf,Q4,1660,0.7819277108433735,0.7412099371366709,1.252662382594129,0.9298083500093484,0.20244444320230348,0.01400056023337295
V-COCO,person,locked_ensemble_collapsed,Q1,1660,0.5680722891566266,0.6181288334478913,1.3740558261906992,0.7940758382298658,0.18063441557611037,0.22022775482928936
V-COCO,person,locked_ensemble_collapsed,Q2,1660,0.6391566265060241,0.66800799110326,1.2658342568310135,0.8492524132676605,0.18063441557611037,0.22022775482928936
V-COCO,person,locked_ensemble_collapsed,Q3,1660,0.6951807228915663,0.7049787933261208,1.2643212077972479,0.8761185694633703,0.18063441557611037,0.22022775482928936
V-COCO,person,locked_ensemble_collapsed,Q4,1660,0.7891566265060241,0.7435424869814159,0.896341892548532,0.8892140715259113,0.18063441557611037,0.22022775482928936
