family,condition,level,fault_seed,realized_bit_flips,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,prediction_agreement_with_clean,mean_absolute_probability_drift,max_absolute_probability_drift,mean_absolute_locked_probability_error,quantization_scale_mean
dinov2_base_top4,uint8_input_bit_flip_rate,0.0001,aggregate,30828,0.94921875,0.9491948557878436,0.9491948557878436,0.94921875,0.2184793387611753,0.09021731648778945,0.04096974328595937,0.99609375,0.004053672581604606,0.23685782128702426,,
dinov2_base_top4,uint8_input_bit_flip_rate,0.001,20260822,308281,0.9453125,0.9452467291561433,0.9452467291561433,0.9453125,0.22751295554358456,0.09763050028423256,0.047971446199277894,0.9921875,0.00786107107879496,0.32978298836212794,,
dinov2_base_top4,uint8_input_bit_flip_rate,0.001,20260823,308281,0.93359375,0.9334746131035364,0.9334746131035364,0.93359375,0.2263604676699167,0.10319680117455662,0.04135007666351808,0.97265625,0.008993747586534213,0.5889916101558907,,
dinov2_base_top4,uint8_input_bit_flip_rate,0.001,20260824,308281,0.94140625,0.9412867491987847,0.9412867491987847,0.94140625,0.21536911001011738,0.09238685181785276,0.04279565183175367,0.98828125,0.0068606431824858125,0.24613825989745286,,
dinov2_base_top4,uint8_input_bit_flip_rate,0.001,aggregate,308281,0.93359375,0.9333253460257005,0.9333253460257005,0.93359375,0.21438443883227082,0.0953879371958019,0.051076324087084374,0.98046875,0.006229854717060463,0.2509989159844398,,
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,0.0,20260822,0,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.2141973695335158,0.08543653193990895,0.04091648941813521,1.0,5.597429300610861e-05,0.0023792504641899637,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,0.0,20260823,0,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.2141973695335158,0.08543653193990895,0.04091648941813521,1.0,5.597429300610861e-05,0.0023792504641899637,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,0.0,20260824,0,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.2141973695335158,0.08543653193990895,0.04091648941813521,1.0,5.597429300610861e-05,0.0023792504641899637,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,0.0,aggregate,0,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.2141973695335158,0.08543653193990895,0.04091648941813521,1.0,5.597429300611181e-05,0.0023792504641899637,,0.0007342936524881778
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,1.0,20260822,3,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21415305237165763,0.08541537094629095,0.04093327662148406,1.0,5.848966670023406e-05,0.0025803737166320284,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,1.0,20260823,3,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.214174384362131,0.08542862287641254,0.04090527783687846,1.0,5.600564203880201e-05,0.0023581049111308927,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,1.0,20260824,3,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21415370357592958,0.0853886214760686,0.040915981394498244,1.0,7.464502734645629e-05,0.004069779531278961,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,1.0,aggregate,3,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21415991316703928,0.08541077507206356,0.04091817861762012,1.0,5.727067475715008e-05,0.002356295413096371,,0.0007342936524881778
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,4.0,20260822,12,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21221253195813805,0.08502546033213321,0.04046546008496868,1.0,0.000350036364478843,0.014090432104269066,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,4.0,20260823,12,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21475367839715964,0.08562471221789708,0.04096464027140936,1.0,0.00012308361914613075,0.01435554609669007,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,4.0,20260824,12,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.2128159074604976,0.08479091758994879,0.03694142335532156,1.0,0.0003954674186703547,0.024680627454182646,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,4.0,aggregate,12,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21321152619484837,0.08514085776791305,0.04065875950039929,1.0,0.0001977888908547786,0.011742473758508787,,0.0007342936524881778
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,16.0,20260822,48,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21413175544058766,0.08547423554209102,0.04113381517675178,1.0,0.0007744798749133947,0.030473595500481232,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,16.0,20260823,48,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21478258435322461,0.08572838871345516,0.04219360984985961,1.0,0.0005456130758714001,0.0428741060882723,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,16.0,20260824,48,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.2133090851675186,0.0844514277881798,0.040827693412155544,1.0,0.0007014967253725348,0.04912211709443581,,0.000734293652488178
dinov2_base_top4,symmetric_int8_head_weight_bit_flips,16.0,aggregate,48,0.953125,0.9532982772314751,0.9532982772314751,0.953125,0.21395938036712778,0.08518751060620877,0.041767166837795654,1.0,0.0003883067357492539,0.024310657759771093,,0.0007342936524881778
