candidate_id,model_kind,stage,seed,selection_metric,oof_accuracy,oof_macro_f1,oof_weighted_f1,oof_balanced_accuracy,oof_log_loss,oof_brier_score,oof_ece,derived_final_epochs,cv_n_splits,test_evaluated,cfg_augmentation_strength,cfg_batch_size,cfg_head_lr,cfg_weight_decay,cfg_label_smoothing,cfg_dropout,cfg_mixup_alpha,cfg_unfreeze_strategy,cfg_backbone_lr,fold_best_epochs,fold_macro_f1,cfg_top_n_blocks
dino_top4_d10,dinov2_small,coarse,42,pooled_oof_macro_f1,0.7231404958677686,0.7257128954609184,0.7268587819415132,0.723046398046398,0.7300464533411346,0.42443738693064254,0.1415874386621901,5,3,False,moderate,4,0.001,0.0001,0.0,0.1,0.0,top_blocks,5e-06,"[5, 11, 2]","[0.7146136416576668, 0.7345679012345679, 0.7280818455152596]",4.0
dino_top2_mild_d10,dinov2_small,coarse,42,pooled_oof_macro_f1,0.7231404958677686,0.7231466251448619,0.7253727407371615,0.7213217338217338,0.7307710721448324,0.4158245529766936,0.1310853564049587,8,3,False,mild,4,0.001,0.0001,0.0,0.1,0.0,top_blocks,5e-06,"[8, 2, 8]","[0.7117944147355911, 0.7079352850539292, 0.7483774250440917]",2.0
dino_top2_d0,dinov2_small,coarse,42,pooled_oof_macro_f1,0.7107438016528925,0.7111606708490483,0.7125718522419475,0.7094322344322345,0.7315067054130828,0.41244349990775264,0.12636597688533058,3,3,False,moderate,4,0.001,0.0001,0.0,0.0,0.0,top_blocks,5e-06,"[3, 2, 9]","[0.728095238095238, 0.6840346157641597, 0.7237250358600905]",2.0
dino_top2_d20,dinov2_small,coarse,42,pooled_oof_macro_f1,0.7066115702479339,0.708035998067559,0.7096410353478441,0.705952380952381,0.7249953221065655,0.42276446320150113,0.12332632521952482,5,3,False,moderate,4,0.001,0.0001,0.0,0.2,0.0,top_blocks,5e-06,"[5, 5, 4]","[0.7143535476868811, 0.6964611331035867, 0.7133699633699634]",2.0
dino_top2_mixup_d10,dinov2_small,coarse,42,pooled_oof_macro_f1,0.6983471074380165,0.6982478823174941,0.700023800790504,0.6969017094017094,0.7467951031781698,0.4296261038519835,0.09989992252066116,3,3,False,moderate,4,0.001,0.0001,0.0,0.1,0.2,top_blocks,5e-06,"[2, 3, 4]","[0.7156177156177156, 0.7013986013986013, 0.6771490414347557]",2.0
dino_probe_d10,dinov2_small,coarse,42,pooled_oof_macro_f1,0.6859504132231405,0.6860151475415047,0.6877280323177678,0.6847069597069598,0.7275927103473814,0.43536873211102733,0.10872933884297521,5,3,False,moderate,4,0.001,0.0001,0.0,0.1,0.0,probe_only,5e-06,"[4, 5, 12]","[0.715079516337378, 0.6722089030000648, 0.6712121212121213]",
dino_fixed_val_d10,dinov2_small,coarse,42,pooled_oof_macro_f1,0.6776859504132231,0.6775179787927822,0.6797006580399573,0.6756562881562882,0.8182700191267892,0.459653787335844,0.07870205965909091,7,3,False,mild,4,0.0003,1e-05,0.1,0.1,0.0,top_blocks,5e-06,"[7, 2, 7]","[0.6897639397639397, 0.6685714285714286, 0.6744374162920529]",2.0
dino_full_d10,dinov2_small,confirm,42,pooled_oof_macro_f1,0.8016528925619835,0.8025445583727793,0.8033894615246336,0.8015567765567765,0.6247410814361034,0.33919824002329785,0.10991271468233474,5,5,False,moderate,4,0.001,0.0001,0.0,0.1,0.0,full_backbone,5e-06,"[4, 9, 5, 7, 4]","[0.7789746543778802, 0.8161764705882352, 0.8141414141414142, 0.8534335288367547, 0.750199766426947]",
dino_top2_wd5e4_d10,dinov2_small,confirm,42,pooled_oof_macro_f1,0.7851239669421488,0.7878615840052401,0.7888788505752429,0.785485347985348,0.6240026664298037,0.3563683995836367,0.12249806301652891,7,5,False,moderate,4,0.001,0.0005,0.0,0.1,0.0,top_blocks,5e-06,"[4, 7, 4, 13, 11]","[0.8375021562877351, 0.8398148148148148, 0.7342549923195084, 0.7576319367198122, 0.769387422613229]",2.0
dino_top4_d10,dinov2_small,confirm,42,pooled_oof_macro_f1,0.78099173553719,0.7811602081230099,0.7821055800045824,0.7810897435897436,0.6069594731949131,0.3422657577786786,0.1094657961002066,5,5,False,moderate,4,0.001,0.0001,0.0,0.1,0.0,top_blocks,5e-06,"[4, 5, 4, 9, 7]","[0.8175987636433883, 0.7719725995588065, 0.7545751633986928, 0.7895894428152492, 0.7727941176470589]",4.0
