family,image_id,curve,fraction,target_probability
convnext_small_full,p1_00741,random_deletion,0.2,0.9950389266014099
convnext_small_full,p1_00741,random_deletion,0.4,0.8604974349339803
convnext_small_full,p1_00741,random_deletion,0.6,0.8157640695571899
convnext_small_full,p1_00741,random_deletion,0.8,0.11037972569465637
convnext_small_full,p1_00741,random_deletion,1.0,0.7784195144971212
convnext_small_full,p1_00749,deletion,0.0,0.9950282176335653
convnext_small_full,p1_00749,deletion,0.1,0.9954867561658224
convnext_small_full,p1_00749,deletion,0.2,0.971537450949351
convnext_small_full,p1_00749,deletion,0.4,0.8112112879753113
convnext_small_full,p1_00749,deletion,0.6,0.733466903368632
convnext_small_full,p1_00749,deletion,0.8,0.30624083677927655
convnext_small_full,p1_00749,deletion,1.0,0.11951169123252232
convnext_small_full,p1_00749,insertion,0.0,0.11951169123252232
convnext_small_full,p1_00749,insertion,0.1,0.3542150507370631
convnext_small_full,p1_00749,insertion,0.2,0.36961130301157635
convnext_small_full,p1_00749,insertion,0.4,0.9629060427347819
convnext_small_full,p1_00749,insertion,0.6,0.995988130569458
convnext_small_full,p1_00749,insertion,0.8,0.9991246064503988
convnext_small_full,p1_00749,insertion,1.0,0.9950282176335653
convnext_small_full,p1_00749,random_deletion,0.0,0.9950282176335653
convnext_small_full,p1_00749,random_deletion,0.1,0.9857834776242574
convnext_small_full,p1_00749,random_deletion,0.2,0.9547092119852701
convnext_small_full,p1_00749,random_deletion,0.4,0.7508066097895304
convnext_small_full,p1_00749,random_deletion,0.6,0.8521151741345724
convnext_small_full,p1_00749,random_deletion,0.8,0.4056580861409505
convnext_small_full,p1_00749,random_deletion,1.0,0.11951169123252232
convnext_small_full,p1_00849,deletion,0.0,0.9177459875742594
convnext_small_full,p1_00849,deletion,0.1,0.11043571804960568
convnext_small_full,p1_00849,deletion,0.2,0.04255660871664683
convnext_small_full,p1_00849,deletion,0.4,0.01800782373175025
convnext_small_full,p1_00849,deletion,0.6,0.021868878044188023
convnext_small_full,p1_00849,deletion,0.8,0.03765111602842808
convnext_small_full,p1_00849,deletion,1.0,0.06764572982986768
convnext_small_full,p1_00849,insertion,0.0,0.06764572982986768
convnext_small_full,p1_00849,insertion,0.1,0.08563376093904178
convnext_small_full,p1_00849,insertion,0.2,0.553568015495936
convnext_small_full,p1_00849,insertion,0.4,0.987735370794932
convnext_small_full,p1_00849,insertion,0.6,0.9845805168151855
convnext_small_full,p1_00849,insertion,0.8,0.9390692313512167
convnext_small_full,p1_00849,insertion,1.0,0.9177459875742594
convnext_small_full,p1_00849,random_deletion,0.0,0.9177459875742594
convnext_small_full,p1_00849,random_deletion,0.1,0.8823182980219523
convnext_small_full,p1_00849,random_deletion,0.2,0.9190795024236044
convnext_small_full,p1_00849,random_deletion,0.4,0.1584635116159916
convnext_small_full,p1_00849,random_deletion,0.6,0.22742804884910583
convnext_small_full,p1_00849,random_deletion,0.8,0.10543131083250046
convnext_small_full,p1_00849,random_deletion,1.0,0.06764572982986768
convnext_small_full,p1_00862,deletion,0.0,0.9995627800623575
convnext_small_full,p1_00862,deletion,0.1,0.2748977728188038
convnext_small_full,p1_00862,deletion,0.2,0.013056559022516012
convnext_small_full,p1_00862,deletion,0.4,0.24985315650701523
convnext_small_full,p1_00862,deletion,0.6,0.5379776507616043
convnext_small_full,p1_00862,deletion,0.8,0.9062577883402506
convnext_small_full,p1_00862,deletion,1.0,0.962304949760437
convnext_small_full,p1_00862,insertion,0.0,0.962304949760437
convnext_small_full,p1_00862,insertion,0.1,0.7892677585283915
convnext_small_full,p1_00862,insertion,0.2,0.9819719394048055
convnext_small_full,p1_00862,insertion,0.4,0.9990112582842509
convnext_small_full,p1_00862,insertion,0.6,0.9994166294733683
convnext_small_full,p1_00862,insertion,0.8,0.9989728530248007
convnext_small_full,p1_00862,insertion,1.0,0.9995627800623575
