convnext_weight,dinov2_weight,accuracy,macro_f1,weighted_f1,balanced_accuracy,log_loss,brier_score,ece,distance_from_equal_weight
0.42500000000000004,0.575,0.7768595041322314,0.7750779885820741,0.7765623295783012,0.7755036630036631,0.5706108204199369,0.32503056828814586,0.1103565673438567,0.07499999999999996
0.45,0.55,0.7768595041322314,0.7750779885820741,0.7765623295783012,0.7755036630036631,0.5728882015852033,0.3263759182757132,0.11332532141512358,0.04999999999999999
0.47500000000000003,0.5249999999999999,0.7768595041322314,0.7750779885820741,0.7765623295783012,0.7755036630036631,0.5752728897220342,0.3278133507594985,0.10153497050038705,0.024999999999999967
0.5,0.5,0.7768595041322314,0.7750779885820741,0.7765623295783012,0.7755036630036631,0.5777668227586149,0.32934286573950167,0.10052398880501133,0.0
0.275,0.725,0.7727272727272727,0.7712314270596479,0.772665508197628,0.7715354090354092,0.5591288129714996,0.31889220078331876,0.11606900254366405,0.22499999999999998
0.525,0.475,0.7727272727272727,0.7710217835316183,0.7724213676057411,0.7715354090354092,0.5803722641017063,0.33096446321572276,0.10526805040425448,0.025000000000000022
0.7000000000000001,0.29999999999999993,0.768595041322314,0.7662041282066957,0.7675977890705397,0.7670634920634921,0.6020047426711173,0.3448939554433733,0.10267524998488615,0.20000000000000007
0.625,0.375,0.768595041322314,0.7657139034622479,0.7671836309568235,0.7669566544566545,0.5919672340146475,0.33837167808278695,0.09342678210513654,0.125
0.55,0.44999999999999996,0.7644628099173554,0.7620055981501764,0.7635410160552051,0.7629884004884006,0.5830918257393465,0.33267814318816197,0.093575025485701,0.050000000000000044
0.5750000000000001,0.42499999999999993,0.7644628099173554,0.7620055981501764,0.7635410160552051,0.7629884004884006,0.5859284970568394,0.33448390565681896,0.09433340693848159,0.07500000000000007
0.6000000000000001,0.3999999999999999,0.7644628099173554,0.7618181632944149,0.7633568147338716,0.7627899877899879,0.5888856803118533,0.336381750621694,0.09011841222513263,0.10000000000000009
0.65,0.35,0.7644628099173554,0.7618181632944149,0.7633568147338716,0.7627899877899879,0.5951775258479924,0.3404536880400978,0.0918379704264881,0.15000000000000002
0.675,0.32499999999999996,0.7644628099173554,0.7618181632944149,0.7633568147338716,0.7627899877899879,0.5985214972746683,0.34262778049362663,0.09849676682138629,0.17500000000000004
0.7250000000000001,0.2749999999999999,0.7644628099173554,0.7616734994218438,0.7631766186853484,0.7627899877899879,0.6056336067715791,0.34725221288933805,0.09851576123279865,0.2250000000000001
0.775,0.22499999999999998,0.756198347107438,0.7539491298527444,0.7553519864582297,0.7548534798534798,0.6133580773362837,0.3522449752699212,0.08480170313068731,0.275
0.875,0.125,0.756198347107438,0.753881655357907,0.7550923519239543,0.7548534798534798,0.6309528343209494,0.3633354899857031,0.08038429454737282,0.375
0.9,0.09999999999999998,0.756198347107438,0.753881655357907,0.7550923519239543,0.7548534798534798,0.6358773676679109,0.36633832490519336,0.07976840680151656,0.4
0.75,0.25,0.756198347107438,0.7532758627005145,0.7548400189057378,0.7545482295482296,0.6094153055248971,0.34970255283152063,0.08999800506547516,0.25
0.8250000000000001,0.17499999999999993,0.756198347107438,0.7531554790590936,0.7546051976501045,0.7545482295482296,0.6217661076071718,0.35760606763537633,0.08433200120109,0.32500000000000007
0.925,0.07499999999999996,0.7520661157024794,0.7498879108687607,0.7510547673569186,0.7506868131868131,0.6410497687148953,0.3694332423209017,0.0863891626356045,0.42500000000000004
0.8,0.19999999999999996,0.7520661157024794,0.7492838467324506,0.7506830436001507,0.7505799755799756,0.6174713743723288,0.3548794802045398,0.08043885694488002,0.30000000000000004
0.8500000000000001,0.1499999999999999,0.7520661157024794,0.7485854433670213,0.7501468857725229,0.7502747252747253,0.6262549653403392,0.3604247375624307,0.07986876954744507,0.3500000000000001
0.9750000000000001,0.02499999999999991,0.7479338842975206,0.7465114374993541,0.7476635618639002,0.7468253968253968,0.6522479272928958,0.375899324640972,0.07583846509655104,0.4750000000000001
0.9500000000000001,0.04999999999999993,0.7479338842975206,0.7459517374047288,0.7471873718959966,0.7465201465201465,0.6464959028874234,0.3726202422328278,0.077329969045037,0.45000000000000007
1.0,0.0,0.743801652892562,0.7426248202687292,0.7437229788452863,0.7428571428571429,0.658346775621503,0.37927048954533404,0.06863103951866852,0.5
